distance[mm],magnetic field[G]
0,1900
0.1,1906.847465
0.2,1910.837835
0.3,1911.888566
0.4,1909.917113
0.5,1904.840931
0.6,1896.577474
0.7,1885.044198
0.8,1870.158557
0.9,1851.838006
1,1830
1.1,1804.561994
1.2,1775.441443
1.3,1742.555802
1.4,1705.822526
1.5,1665.159069
1.6,1620.482887
1.7,1571.711434
1.8,1518.762165
1.9,1461.552535
2,1400
2.1,1334.234559
2.2,1265.236392
2.3,1194.198225
2.4,1122.312784
2.5,1050.772793
2.6,980.7709794
2.7,913.5000677
2.8,850.1527835
2.9,791.9218524
3,740
3.1,695.2497713
3.2,657.2129897
3.3,625.1012983
3.4,598.1263402
3.5,575.4997584
3.6,556.4331959
3.7,540.1382957
3.8,525.826701
3.9,512.7100548
4,500
4.1,487.0563563
4.2,473.8316495
4.3,460.4265818
4.4,446.9418557
4.5,433.4781733
4.6,420.1362371
4.7,407.0167494
4.8,394.2204124
4.9,381.8479285
5,370
5.1,358.7548035
5.2,348.1004124
5.3,338.0023744
5.4,328.4262371
5.5,319.3375483
5.6,310.7018557
5.7,302.4847068
5.8,294.6516495
5.9,287.1682313
6,280
6.1,273.1144298
6.2,266.486701
6.3,260.0939207
6.4,253.9131959
6.5,247.9216334
6.6,242.0963402
6.7,236.4144233
6.8,230.8529897
6.9,225.3891463
7,220
7.1,214.6674774
7.2,209.3927835
7.3,204.1819427
7.4,199.0409794
7.5,193.9759182
7.6,188.9927835
7.7,184.0975999
7.8,179.2963918
7.9,174.5951836
8,170
8.1,165.5156604
8.2,161.1421649
8.3,156.8783086
8.4,152.7228866
8.5,148.6746939
8.6,144.7325258
8.7,140.8951772
8.8,137.1614433
8.9,133.5301192
9,130
9.1,126.5698808
9.2,123.2385567
9.3,120.0048228
9.4,116.8674742
9.5,113.8253061
9.6,110.8771134
9.7,108.0216914
9.8,105.2578351
9.9,102.5843396
